测试集名称	故障类型
test0001	normal
test0002	roller_wear
test0003	inner_wear
test0004	roller_broken
test0005	normal
test0006	normal
test0007	roller_wear
test0008	inner_broken
test0009	normal
test0010	normal
test0011	outer_missing
test0012	roller_broken
test0013	outer_missing
test0014	normal
test0015	outer_missing
test0016	roller_wear
test0017	outer_missing
test0018	normal
test0019	roller_wear
test0020	normal
test0021	normal
test0022	normal
test0023	normal
test0024	inner_broken
test0025	outer_missing
test0026	outer_missing
test0027	inner_wear
test0028	roller_wear
test0029	normal
test0030	inner_broken
test0031	roller_broken
test0032	roller_wear
test0033	inner_wear
test0034	inner_broken
test0035	normal
test0036	roller_broken
test0037	normal
test0038	normal
test0039	inner_wear
test0040	normal
test0041	roller_wear
test0042	outer_missing
test0043	roller_wear
test0044	roller_wear
test0045	roller_wear
test0046	roller_wear
test0047	roller_wear
test0048	roller_wear
test0049	normal
test0050	roller_wear
test0051	roller_broken
test0052	inner_broken
test0053	inner_wear
test0054	roller_broken
test0055	roller_wear
test0056	normal
test0057	normal
test0058	roller_wear
test0059	inner_broken
test0060	roller_wear
test0061	normal
test0062	roller_wear
test0063	outer_missing
test0064	roller_broken
test0065	normal
test0066	roller_wear
test0067	roller_broken
test0068	normal
test0069	outer_missing
test0070	normal
test0071	inner_wear
test0072	inner_broken
test0073	normal
test0074	outer_missing
test0075	inner_broken
test0076	roller_wear
test0077	outer_missing
test0078	outer_missing
test0079	roller_wear
test0080	roller_wear
test0081	roller_wear
test0082	roller_broken
test0083	roller_wear
test0084	normal
test0085	normal
test0086	outer_missing
test0087	outer_missing
test0088	normal
test0089	outer_missing
test0090	inner_wear
test0091	inner_wear
test0092	roller_broken
test0093	outer_missing
test0094	roller_wear
test0095	inner_broken
test0096	outer_missing
test0097	roller_wear
test0098	outer_missing
test0099	outer_missing
test0100	roller_wear
test0101	normal
test0102	outer_missing
test0103	inner_wear
test0104	roller_wear
test0105	roller_broken
test0106	inner_broken
test0107	inner_broken
test0108	inner_wear
test0109	normal
test0110	normal
test0111	normal
test0112	outer_missing
test0113	inner_wear
test0114	roller_broken
test0115	roller_broken
test0116	normal
test0117	roller_broken
test0118	normal
test0119	inner_wear
test0120	normal
test0121	inner_wear
test0122	outer_missing
test0123	outer_missing
test0124	inner_wear
test0125	roller_wear
test0126	roller_wear
test0127	normal
